genome	subspecies	serovar
SRR1198880	enterica	Oranienburg
SRR1198883	enterica	Typhimurium
SRR1198885	enterica	Infantis
SRR1198886	enterica	Enteritidis
SRR1198887	enterica	Mbandaka
SRR1198889	enterica	Typhimurium
SRR1282366	enterica	Newport
SRR1282365	enterica	I 4,[5],12:i:-
SRR1030529	enterica	Kentucky
SRR2002723	enterica	Oranienburg
SRR1030526	enterica	Heidelberg
SRR1030527	enterica	Typhimurium
SRR1030525	enterica	Typhimurium
51269	enterica	Saintpaul
51268	enterica	Enteritidis
51267	enterica	London
51266	enterica	Oslo
51265	enterica	Enteritidis
51264	enterica	Typhimurium
51263	enterica	Stanley
51262	enterica	Enteritidis
51261	enterica	Enteritidis
SRR980354	enterica	Newport
SRR980351	enterica	Muenchen
SRR980350	enterica	Montevideo
SRR980353	enterica	Ohio
SRR980352	enterica	Muenchen
SRR1122629	enterica	Ohio
SRR1122628	enterica	Senftenberg
46138	enterica	Agona
00_0163	salamae	II 58:l,z13,z28:z6
46136	enterica	Poona
46135	enterica	Thompson
46134	enterica	Bardo
46133	enterica	Typhimurium
46132	enterica	Enteritidis
46131	enterica	Enteritidis
46130	enterica	Enteritidis
75948	enterica	Potsdam
75949	enterica	Kentucky
56123	enterica	Typhimurium
56122	enterica	Braenderup
56124	enterica	I 4,[5],12:i:-
56127	enterica	I 4,[5],12:i:-
56126	enterica	Typhi
75940	enterica	Typhimurium
75941	enterica	Kottbus
75942	enterica	Typhimurium
75943	enterica	I 4,[5],12:i:-
75944	enterica	Montevideo
75945	enterica	Thompson
75946	enterica	Richmond
75947	enterica	Typhimurium
SRR1157968	enterica	Typhimurium
SRR1157969	enterica	Poona
SRR1157966	enterica	Kiambu
SRR1157967	enterica	Enteritidis
SRR1157965	enterica	Paratyphi B
65396	enterica	Stourbridge
A50	enterica	Choleraesuis
80598	enterica	Derby
73622	enterica	Enteritidis
80594	enterica	Enteritidis
80593	enterica	Enteritidis
80591	enterica	Typhimurium
54040	enterica	I 4,[5],12:i:-
69726	enterica	Typhimurium
60091	enterica	Virchow
63027	enterica	I 4,[5],12:d:-
63020	enterica	Stanley
63021	enterica	Virchow
9258	enterica	Typhimurium
9259	enterica	I 4,[5],12:i:-
9256	enterica	Infantis
9257	enterica	Stanley
SRR1257275	enterica	Oslo
SRR1257274	enterica	Typhimurium
63028	enterica	Infantis
9253	enterica	Oranienburg
9251	enterica	Ouakam
69729	enterica	Stanley
SRR1122701	enterica	Heidelberg
69178	enterica	Kentucky
37799	enterica	Enteritidis
37798	enterica	Enteritidis
37797	enterica	Coeln
37794	enterica	I 4,[5],12:i:-
37793	enterica	I 4,[5],12:i:-
37792	enterica	I 4,[5],12:i:-
37791	enterica	Typhimurium
37790	enterica	Agama
70662	enterica	Enteritidis
70660	enterica	Typhimurium
70661	enterica	Enteritidis
70666	enterica	Enteritidis
70667	enterica	Enteritidis
70664	enterica	Enteritidis
70665	enterica	Dublin
70668	enterica	Enteritidis
SRR1021942	enterica	Muenchen
SRR1021940	enterica	Inverness
SRR1021941	enterica	Rubislaw
71539	enterica	Infantis
71538	enterica	Enteritidis
31947	enterica	Agona
71535	enterica	I 4,[5],12:i:-
71537	enterica	Kedougou
71531	diarizonae	IIIb 48:z10:e,n,x,z15
71530	enterica	Enteritidis
71532	enterica	Newport
12_3032	enterica	Kouka
SRR1238795	enterica	Enteritidis
78669	enterica	Chester
ST4848	enterica	Typhimurium
78668	enterica	Enteritidis
48265	enterica	Enteritidis
78662	enterica	Enteritidis
78663	enterica	I 4,[5],12:i:-
78660	enterica	Enteritidis
78661	enterica	Infantis
78666	enterica	Enteritidis
78667	enterica	Potsdam
78664	enterica	Enteritidis
78665	enterica	Typhimurium
41565	enterica	Heidelberg
41566	enterica	Heidelberg
515920_2	enterica	Montevideo
41563	enterica	Heidelberg
WA_14885	enterica	Newport
WA_14881	enterica	Newport
WA_14882	enterica	Newport
99737	enterica	Stanley
99736	enterica	I 4,[5],12:i:-
29382	enterica	I 4,[5],12:i:-
50312	enterica	Typhimurium
SS209	enterica	Senftenberg
99739	enterica	Anatum
29381	enterica	Enteritidis
SRR1207518	enterica	Saintpaul
SRR1207515	enterica	Enteritidis
SRR1207511	enterica	Newport
40325	enterica	Enteritidis
94075	enterica	Oranienburg
23059	enterica	Mbandaka
29385	enterica	Typhimurium
SRR1248950	enterica	Heidelberg
SRR1248951	enterica	Heidelberg
23055	enterica	Virchow
23054	enterica	Haifa
23057	enterica	Enteritidis
23056	enterica	Kentucky
23503	enterica	Enteritidis
44700	enterica	Typhi
23500	enterica	Enteritidis
85687	enterica	Paratyphi B var. Java
94071	enterica	Enteritidis
44707	enterica	Typhi
12_A_06	enterica	Agona
94073	enterica	Agona
44705	enterica	Typhi
AKU12601	enterica	Paratyphi A
SRR1185859	enterica	Heidelberg
44709	enterica	Enteritidis
SRR1185855	enterica	Saintpaul
SRR1185854	enterica	Typhimurium
SRR1185856	enterica	Kentucky
CVM_19470	enterica	Newport
SARB17	enterica	Enteritidis
629164_37	enterica	Enteritidis
56929	enterica	Goldcoast
SRR1060611	salamae	II 48:d:z6
SRR1060610	salamae	II 47:a:1,5
SRR1060613	salamae	II 30:l,z28:z6
SRR1060612	diarizonae	IIIb 65:(k):z
SRR1060615	salamae	II 58:d:z8
SRR1060614	salamae	II 60:g,m,t:z6
SRR1060617	arizonae	IIIa 62:z36:-
SRR1060616	arizonae	IIIa 18:z4,z32:-
SRR1060619	diarizonae	IIIb 38:(k):z35
SRR1060618	arizonae	IIIa 41:z4,z23:-
SRR1105671	enterica	Poona
SRR1105670	enterica	Bispebjerg
SRR1105672	enterica	Montevideo
SRR1105677	enterica	Poona
SRR1105676	enterica	Altona
SRR1105678	enterica	Muenchen
77288	enterica	Thompson
78748	salamae	II 58:l,z13,z28:z6
UJ816A	enterica	Typhi
SRR1043939	enterica	Bredeney
46137	enterica	I 4,[5],12:i:-
SRR1266090	enterica	Typhimurium
SRR1048633	enterica	Havana
SRR1158209	enterica	Typhimurium
SRR1158206	enterica	Typhimurium
SRR1158207	enterica	Typhimurium
SRR1158204	enterica	Potsdam
CDC_2010K_1445	enterica	Enteritidis
SRR1158203	enterica	Havana
SRR1158200	enterica	Montevideo
SRR1158201	enterica	Typhimurium
SRR1122509	enterica	Typhimurium
2309	enterica	Enteritidis
2308	enterica	Enteritidis
31909	enterica	Agbeni
56120	enterica	Enteritidis
SRR863395	enterica	Kentucky
31905	enterica	Enteritidis
31906	enterica	Kentucky
31907	enterica	I 4,[5],12:i:-
2305	enterica	Enteritidis
2307	enterica	Enteritidis
31903	enterica	Typhimurium
5857	enterica	Newport
SRR1122489	enterica	Muenchen
SRR1918980	enterica	Paratyphi B var. Java monophasic
SRR955230	enterica	Worthington
SRR955231	enterica	Braenderup
5848	enterica	I 4,[5],12:i:-
SRR1265014	enterica	Meleagridis
SRR1265012	enterica	Kentucky
SRR1265013	enterica	Abony
SRR1265010	enterica	Kisarawe
3749	enterica	Enteritidis
3746	enterica	Typhi
3744	enterica	Stanley
3745	enterica	Enteritidis
3743	enterica	Enteritidis
3740	enterica	Enteritidis
3741	enterica	Haifa
56129	enterica	Kentucky
56128	enterica	Paratyphi A
25248	enterica	Typhimurium
57661	enterica	Enteritidis
57660	enterica	Typhimurium
57663	enterica	Obogu
57662	enterica	Ohio
