"Serovar","O_antigen","H1","H2","H_other","Serogroup","can_h2_be_missing"
"Aachen","17","z35","1,6","","J","False"
"Aarhus","18","z4,z23","z64","","K","False"
"Aba","6,8","i","e,n,z15","","C2-C3","False"
"Abadina","28","g,m","[e,n,z15]","","M","True"
"Abaetetuba","11","k","1,5","","F","False"
"Aberdeen","11","i","1,2","","F","False"
"Abidjan","39","b","l,w","","Q","False"
"Ablogame","16","l,z13,z28","z6","","I","False"
"Abobo","16","i","z6","","I","False"
"Abony","1,4,[5],12,[27]","b","e,n,x","","B","False"
"Abortusequi","4,12","-","e,n,x","","B","False"
"Abortusovis","4,12","c","1,6","","B","False"
"Abuja","11","g,m","1,5","","F","False"
"Accra","1,3,19","b","z6","","E4","False"
"Ackwepe","9,46","l,w","-","","D2","True"
"Adabraka","3,10","z4,z23","[1,7]","","E1","True"
"Adamstown","28","k","1,6","","M","False"
"Adamstua","11","e,h","1,6","","F","False"
"Adana","43","z10","1,5","","U","False"
"Adelaide","35","f,g","-","[z27]","O","True"
"Adeoyo","16","g,m,[t]","-","","I","True"
"Aderike","28","z38","e,n,z15","","M","False"
"Adime","6,7","b","1,6","","C1","False"
"Adjame","13,23","r","1,6","","G","False"
"Aequatoria","6,7","z4,z23","e,n,z15","","C1","False"
"Aesch","6,8","z60","1,2","","C2-C3","False"
"Aflao","1,6,14,25","l,z28","e,n,x","","H","False"
"Africana","4,12","r,i","l,w","","B","False"
"Afula","6,7","f,g,t","e,n,x","","C1","False"
"Agama","4,12","i","1,6","","B","False"
"Agbara","16","i","1,6","","I","False"
"Agbeni","1,13,23","g,m,[s],[t]","-","","G","True"
"Agege","3,10","c","e,n,z15","","E1","False"
"Ago","30","z38","-","","N","True"
"Agodi","35","g,t","-","","O","True"
"Agona","1,4,[5],12","f,g,s","[1,2]","[z27],[z45]","B","True"
"I 4,[5],12:d:-","4,[5],12","d","-","","B","True"
"Agoueve","13,22","z29","-","","G","True"
"Ahanou","17","i","1,7","","J","False"
"Ahepe","43","z35","1,6","","U","False"
"Ahmadi","1,3,19","d","1,5","","E4","False"
"Ahoutoue","41","z35","1,6","","S","False"
"Ahuza","43","k","1,5","","U","False"
"Ajiobo","13,23","z4,z23","-","","G","True"
"Akanji","6,8","r","1,7","","C2-C3","False"
"Akuafo","16","y","1,6","","I","False"
"Alabama","9,12","c","e,n,z15","","D1","False"
"Alachua","35","z4,z23","-","[z37],[z45]","O","True"
"Alagbon","8,20","y","1,7","","C2-C3","False"
"Alamo","6,7","g,z51","1,5","","C1","False"
"Albany","8,20","z4,z24","-","[z45]","C2-C3","True"
"Albert","4,12","z10","e,n,x","","B","False"
"Albertbanjul","44","r","1,5","","V","False"
"Albertslund","3,10","z38","1,6","","E1","False"
"Albuquerque","1,6,14,24","d","z6","","H","False"
"Alexanderplatz","47","z38","-","","X","True"
"Alexanderpolder","8","c","l,w","","C2-C3","False"
"Alfort","3,10","f,g","e,n,x","","E1","False"
"Alger","38","l,v","1,2","","P","False"
"Alkmaar","1,3,19","a","l,w","","E4","False"
"Allandale","1,40","k","1,6","","R","False"
"Allerton","3,10","b","1,6","","E1","False"
"Alma","39","i","e,n,z15","","Q","False"
"Alminko","8,20","g,s,t","-","","C2-C3","True"
"Alpenquai","6,14","l,v","e,n,z15","","H","False"
"Altendorf","4,12,[27]","c","1,7","","B","False"
"Altona","8,20","r,[i]","z6","","C2-C3","False"
"Amager","3,{10}{15}","y","1,2","[z45]","E1","False"
"Amba","11","k","l,z13,z28","","F","False"
"Amberg","6,14,24","l,v","1,7","","H","False"
