genome	serovar
77346	Aba
78760	Aba
SRR1805589	Aba
SRR1960059	Aba
SRR3049081	Aba
SRR4000251	Aba
ATCC_35640	Abaetetuba
SAL_BA1558AA	Abaetetuba
SAL_BA2003AA	Abaetetuba
SAL_BA3628AA	Abaetetuba
SAL_BA5161AA	Abaetetuba
SAL_BA5441AA	Abaetetuba
SAL_BA6827AA	Abaetetuba
SAL_CA7233AA	Abaetetuba
SAL_CA7681AA	Abaetetuba
SAL_CA7708AA	Abaetetuba
SAL_CA7972AA	Abaetetuba
SAL_DA6897AA	Abaetetuba
SAL_DA8111AA	Abaetetuba
SAL_DA8518AA	Abaetetuba
SAL_DA9987AA	Abaetetuba
SAL_EA6774AA	Abaetetuba
SAL_EA6854AA	Abaetetuba
SAL_EA6855AA	Abaetetuba
SAL_FA2270AA	Abaetetuba
SAL_FA4007AA	Abaetetuba
SAL_GA1717AA	Abaetetuba
SAL_GA8757AA	Abaetetuba
SRR1139532	Abaetetuba
SRR1212374	Abaetetuba
SRR1249000	Abaetetuba
SRR1300713	Abaetetuba
SRR1481649	Abaetetuba
SRR1805654	Abaetetuba
SRR1816859	Abaetetuba
SRR1821280	Abaetetuba
SRR1840663	Abaetetuba
SRR1918993	Abaetetuba
SRR1974009	Abaetetuba
SRR2011322	Abaetetuba
SRR2012400	Abaetetuba
SRR2053343	Abaetetuba
SRR2096617	Abaetetuba
SRR3046416	Abaetetuba
SRR3242167	Abaetetuba
SRR3316328	Abaetetuba
SRR3323116	Abaetetuba
SRR4119776	Abaetetuba
66453	Aberdeen
68862	Aberdeen
75760	Aberdeen
17-3006	Aberdeen
ERR230424	Aberdeen
ERR230432	Aberdeen
SAL_BA0963AA	Aberdeen
SAL_BA1356AA	Aberdeen
SAL_BA1530AA	Aberdeen
SAL_BA1539AA	Aberdeen
SAL_BA2218AA	Aberdeen
SAL_BA2635AA	Aberdeen
SAL_BA2655AA	Aberdeen
SAL_BA2672AA	Aberdeen
SAL_BA5792AA	Aberdeen
SAL_BA5804AA	Aberdeen
SAL_BA6349AA	Aberdeen
SAL_CA3693AA	Aberdeen
SAL_CA5079AA	Aberdeen
SAL_CA5841AA	Aberdeen
SAL_CA6731AA	Aberdeen
SAL_CA7079AA	Aberdeen
SAL_CA7325AA	Aberdeen
SAL_CA7377AA	Aberdeen
SAL_CA8309AA	Aberdeen
SAL_DA2776AA	Aberdeen
SAL_DA7521AA	Aberdeen
SAL_EA0396AA	Aberdeen
SAL_EA0763AA	Aberdeen
SAL_EA1109AA	Aberdeen
SAL_EA2472AA	Aberdeen
SAL_EA2476AA	Aberdeen
SAL_EA4828AA	Aberdeen
SAL_EA9127AA	Aberdeen
SAL_FA6508AA	Aberdeen
SAL_FA7845AA	Aberdeen
SAL_GA8753AA	Aberdeen
SAL_GA8766AA	Aberdeen
SAL_GA9227AA	Aberdeen
SAL_HA1269AA	Aberdeen
SAL_IA5116AA	Aberdeen
SRR1033456	Aberdeen
SRR1055752	Aberdeen
SRR1139533	Aberdeen
SRR1269342	Aberdeen
SRR1584380	Aberdeen
SRR1584388	Aberdeen
SRR1785047	Aberdeen
SRR1916081	Aberdeen
SRR1916386	Aberdeen
SRR1946985	Aberdeen
SRR1957837	Aberdeen
SRR1959231	Aberdeen
SRR1963308	Aberdeen
SRR1966274	Aberdeen
SRR1982185	Aberdeen
SRR2075988	Aberdeen
SRR2076015	Aberdeen
SRR2076045	Aberdeen
SRR2086590	Aberdeen
SRR2127513	Aberdeen
SRR2127522	Aberdeen
SRR2133330	Aberdeen
SRR2140712	Aberdeen
SRR2173961	Aberdeen
SRR2533815	Aberdeen
SRR2533820	Aberdeen
SRR2911007	Aberdeen
SRR3115979	Aberdeen
SRR3453115	Aberdeen
SRR3657259	Aberdeen
SRR3995857	Aberdeen
SRR4119780	Aberdeen
SRR4119785	Aberdeen
SRR4245569	Aberdeen
SRR5056547	Aberdeen
14	Abony
13849	Abony
13850	Abony
19655	Abony
23084	Abony
25351	Abony
29956	Abony
37071	Abony
39462	Abony
44720	Abony
49695	Abony
50861	Abony
58580	Abony
62536	Abony
68880	Abony
73191	Abony
90495	Abony
SAL_BA5138AA	Abony
SAL_BA8644AA	Abony
SAL_CA0474AA	Abony
SAL_CA0658AA	Abony
SAL_CA2309AA	Abony
SAL_CA2600AA	Abony
SAL_CA3823AA	Abony
SAL_CA3950AA	Abony
SAL_CA5832AA	Abony
SAL_CA6116AA	Abony
SAL_CA6415AA	Abony
SAL_CA6770AA	Abony
SAL_DA1237AA	Abony
SAL_DA1388AA	Abony
SAL_DA8655AA	Abony
SAL_EA7466AA	Abony
SAL_EA7944AA	Abony
SAL_EA8100AA	Abony
SAL_FA8205AA	Abony
SRR1203042	Abony
SRR1265013	Abony
SRR1643105	Abony
SRR1645205	Abony
SRR1957798	Abony
SRR1958461	Abony
SRR1959240	Abony
SRR1965833	Abony
SRR1966013	Abony
SRR1966142	Abony
SRR1967371	Abony
SRR1967662	Abony
SRR1968646	Abony
SRR1968744	Abony
SRR1969704	Abony
SRR3048525	Abony
SRR3048803	Abony
SRR3049305	Abony
SRR3721548	Abony
SRR3979114	Abony
SRR4046874	Abony
SRR4046877	Abony
ERR230405	Abortusequi
SRR2016688	Abortusequi
SAL_BA4838AA	Abortusovis
SAL_BA5800AA	Abortusovis
SAL_BA5810AA	Abortusovis
SRR2016687	Abortusovis
SS44	Abortusovis
6450	Adabraka
SAL_CA0889AA	Adabraka
SRR1968527	Adabraka
5371	Adelaide
25330	Adelaide
38737	Adelaide
44671	Adelaide
45975	Adelaide
70654	Adelaide
78745	Adelaide
80298	Adelaide
99746	Adelaide
17-5758	Adelaide
17-8327	Adelaide
ERR045306	Adelaide
SAL_BA1438AA	Adelaide
SAL_BA7386AA	Adelaide
SAL_BA7597AA	Adelaide
SAL_BA8837AA	Adelaide
SAL_BA8973AA	Adelaide
SAL_CA2341AA	Adelaide
SAL_CA2537AA	Adelaide
SAL_CA3739AA	Adelaide
SAL_CA5319AA	Adelaide
SAL_CA5321AA	Adelaide
SAL_CA5779AA	Adelaide
SAL_CA6753AA	Adelaide
SAL_CA9654AA	Adelaide
SAL_CA9674AA	Adelaide
SAL_CA9678AA	Adelaide
SAL_CA9681AA	Adelaide
SAL_CA9685AA	Adelaide
SAL_CA9774AA	Adelaide
SAL_DA0972AA	Adelaide
SAL_DA1386AA	Adelaide
SAL_DA1387AA	Adelaide
SAL_DA1416AA	Adelaide
SAL_DA6827AA	Adelaide
SAL_EA0296AA	Adelaide
SAL_EA1465AA	Adelaide
SAL_EA1486AA	Adelaide
SAL_EA6471AA	Adelaide
SAL_EA8650AA	Adelaide
SAL_EA8651AA	Adelaide
SAL_EA8652AA	Adelaide
SAL_FA0393AA	Adelaide
SAL_FA2791AA	Adelaide
SAL_FA2819AA	Adelaide
SAL_FA4001AA	Adelaide
SAL_FA4674AA	Adelaide
SAL_FA5002AA	Adelaide
SAL_FA5415AA	Adelaide
SAL_FA6204AA	Adelaide
SAL_FA7293AA	Adelaide
SAL_FA7901AA	Adelaide
SAL_FA8422AA	Adelaide
SAL_FA8466AA	Adelaide
SAL_GA2670AA	Adelaide
